time_ini,time_end,duration_seg,duration_percent,ref_2019_07_25,ref_2019_07_24,ref_2019_07_27,ref_2019_07_26,ref_2019_07_21,ref_2019_07_20,ref_2019_07_23,ref_2019_07_22,ref_2019_07_29,ref_2019_07_28,ref_Periodo,RPFDIxRPMPX_ativado,OMCCLxRPATJ_ativado,chamados_MSRPJRD,localidade_id_MSOMJRD_2496,ref_2019_07_10,ref_2019_07_11,ref_2019_07_12,ref_2019_07_13,ref_2019_07_14,ref_2019_07_15,ref_2019_07_16,ref_2019_07_17,ref_2019_07_18,ref_2019_07_19,chamados_MSRPMMA,RPMRDxRPFGR_ativado,OMJRDxRPJRD_ativado,chamados_MSOMJRD,RPJRD_nOK_0001,RPJRD_nOK_0002,RPAMBxRPTCU_ativado,localidade_id_MSRPMMA_2496,OMJRD_nOK_0001,RPNASxRPRBR_ativado,RPPPR_nOK_0002,RPPPR_nOK_0004,OMCARCxRPFSJ_ativado,ref_2019_07_31,ref_2019_06,ref_2019_07,OMCGRxRPCGR_ativado,RPPPRxOMCCL_ativado,RPATJ_SColTempo_0002_delta_tempo,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,localidade_id_MSOMCCL_2496,localidade_id_MSRPATJ_2496,OMCARC_nOK_0001,Chamados_Desconto,ref_2019_07_09,ref_2019_07_08,ref_2019_07_07,ref_2019_07_06,ref_2019_07_05,ref_2019_07_04,ref_2019_07_03,ref_2019_07_02,ref_2019_07_01,chamados_MSOMCCL,RPTCUxOMIGT_ativado,RPPPRxOMPPR_ativado,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,localidade_id_MSOMBLV_2496,RPRBRxRPDOU_ativado,OMCGRxOMRCB_ativado,RPCGRxRPNAS1_ativado,RPNVLxRPBND_ativado,RPNOQxOMNOQ_ativado,OMBLV_nOK_0001,RPAMO_nOK_0002,RPFDI_nOK_0001,ref_2019_06_30,RPAMO1_nOK_0001,chamados_MSRPATJ,RPATJ_SColTempo_0001_delta_tempo,OMDOUxRPPPR_ativado,RPAMBxOMAMB_ativado,OMIGTxOMMNO_ativado,OMCGRxRPNVL_ativado,localidade_id_MSRPJRD_2496,ref_2019_07_30,RPMMAxOMBLV_ativado,RPNVLxRPTRN_ativado,RPAMOxRPAMB_ativado,RPMRDxOMAQD_ativado,RPMPXxRPSPE_ativado,RPJRDxRPMMA_ativado,chamados_MSOMBLV,RPNOQxOMJRD_ativado,RPPPRxRPAMO1_ativado,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,RPSPExRPNOQ_ativado
"2019-06-30 00:00:00","2019-06-30 23:59:59",86399.0,0.0312496496129, , , , , , , , , , ,1,1,1, , , , , , , , , , , , , ,1,1, , , ,1, , ,1, , , , ,1, ,1,1, ,1,1,1,1, , , , , , , , , , , , , , ,1,1,1,1, ,1,1,1,1,1, , , ,1, , , ,1,1,1,1, , ,1,1,1,1,1,1, ,1,1,1,1,1
"2019-06-30 23:59:59","2019-07-01 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1, , , , , , , , , , , , , ,1,1, , , ,1, , ,1, , , , , , ,1,1, ,1,1,1,1, , , , , , , , , , , , , , ,1,1,1,1, ,1,1,1,1,1, , , , , , , ,1,1,1,1, , ,1,1,1,1,1,1, ,1,1,1,1,1
"2019-07-01 00:00:00","2019-07-01 05:00:00",18000.0,0.00651041902142, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , , , , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-01 05:00:00","2019-07-01 23:59:59",68399.0,0.0247392305914, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-01 23:59:59","2019-07-02 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-02 00:00:00","2019-07-02 23:59:59",86399.0,0.0312496496129, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , ,1, ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-02 23:59:59","2019-07-03 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-03 00:00:00","2019-07-03 23:59:59",86399.0,0.0312496496129, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , ,1, , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-03 23:59:59","2019-07-04 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-04 00:00:00","2019-07-04 16:07:37",58057.0,0.0209986331737, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , ,1, , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-04 16:07:37","2019-07-04 16:34:37",1620.0,0.000585937711928, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1,1620,1,1,1,1,1,1, ,1, , , , , ,1, , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1,1620,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-04 16:34:37","2019-07-04 23:59:59",26722.0,0.00966507872724, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , ,1, , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-04 23:59:59","2019-07-05 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-05 00:00:00","2019-07-05 23:59:59",86399.0,0.0312496496129, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-05 23:59:59","2019-07-06 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-06 00:00:00","2019-07-06 23:59:59",86399.0,0.0312496496129, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , ,1, , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-06 23:59:59","2019-07-07 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-07 00:00:00","2019-07-07 23:59:59",86399.0,0.0312496496129, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , ,1, , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-07 23:59:59","2019-07-08 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-08 00:00:00","2019-07-08 10:37:41",38261.0,0.0138386190099, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, ,1, , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-08 10:37:41","2019-07-08 12:56:45",8344.0,0.00301794090637, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-08 12:56:45","2019-07-08 15:56:44",10799.0,0.00390588972291, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , ,1,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-08 15:56:44","2019-07-08 16:53:41",3417.0,0.00123589454423, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-08 16:53:41","2019-07-08 17:12:41",1140.0,0.000412326538023, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, ,1, , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-08 17:12:41","2019-07-08 19:44:04",9083.0,0.0032852297762, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-08 19:44:04","2019-07-08 19:46:04",120.0,4.34027934761E-05, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1,1, ,1, , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-08 19:46:04","2019-07-08 23:59:59",15235.0,0.00551034632174, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-08 23:59:59","2019-07-09 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1,1,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-09 00:00:00","2019-07-09 12:15:42",44142.0,0.0159657175802, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1,1,1,1, , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-09 12:15:42","2019-07-09 15:04:21",10119.0,0.00365994055987, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1,1, , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-09 15:04:21","2019-07-09 16:20:21",4560.0,0.00164930615209, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, ,1,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1,1, , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-09 16:20:21","2019-07-09 23:59:59",27578.0,0.00997468532071, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1,1, , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-09 23:59:59","2019-07-10 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-10 00:00:00","2019-07-10 18:12:49",65569.0,0.0237156480453, , , , , , , , , , ,1,1,1,1,1,1, , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-10 18:12:49","2019-07-10 18:14:49",120.0,4.34027934761E-05, , , , , , , , , , ,1,1,1,1,1,1, , , , , , , , , ,1,1,1,1, , ,1,1,1,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-10 18:14:49","2019-07-10 23:59:59",20710.0,0.00749059877409, , , , , , , , , , ,1,1,1,1,1,1, , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-10 23:59:59","2019-07-11 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-11 00:00:00","2019-07-11 23:59:59",86399.0,0.0312496496129, , , , , , , , , , ,1,1,1,1,1, ,1, , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-11 23:59:59","2019-07-12 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-12 00:00:00","2019-07-12 22:04:22",79462.0,0.02874060646, , , , , , , , , , ,1,1,1,1,1, , ,1, , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-12 22:04:22","2019-07-12 22:06:21",119.0,4.30411035305E-05, , , , , , , , , , ,1,1,1,1,1, , ,1, , , , , , , ,1,1,1,1, ,1,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-12 22:06:21","2019-07-12 23:59:59",6818.0,0.00246600204934, , , , , , , , , , ,1,1,1,1,1, , ,1, , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-12 23:59:59","2019-07-13 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-13 00:00:00","2019-07-13 23:59:59",86399.0,0.0312496496129, , , , , , , , , , ,1,1,1,1,1, , , ,1, , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-13 23:59:59","2019-07-14 00:00:00",1.0,3.61689945634E-07, , , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
"2019-07-14 00:00:00","2019-07-14 23:59:59",86399.0,0.0312496496129, , , , , , , , , , ,1,1,1,1,1, , , , ,1, , , , , ,1,1,1,1, , ,1,1, ,1, , ,1, , ,1,1,1, ,1,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , , , , ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1
