time_ini,time_end,duration_seg,duration_percent,RPFGR_SColTempo_0001_delta_tempo,ref_Periodo,RPFDIxRPMPX_ativado,RPMRD_SColTempo_0001_delta_tempo,OMCCLxRPATJ_ativado,RPMPX_nOK_0003,RPMRDxRPFGR_ativado,chamados_MSOMJRD,localidade_id_MSOMJRD_1749,RPAMBxRPTCU_ativado,ref_2019_11,ref_2019_10,ref_2019_12,ref_2019_10_31,ref_2019_11_29,ref_2019_11_26,RPNASxRPRBR_ativado,RPPPR_nOK_0004,RPNVL_nOK_0003,OMAQD_SColTempo_0002_delta_tempo,OMJRDxRPJRD_ativado,OMCGRxRPCGR_ativado,RPPPRxOMCCL_ativado,RPATJ_SColTempo_0002_delta_tempo,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,Chamados_Desconto,RPAMOxRPAMB_ativado,ref_2019_11_12,RPTCUxOMIGT_ativado,RPPPRxOMPPR_ativado,RPTCU_nOK_0001,ref_2019_11_28,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,ref_2019_11_27,ref_2019_11_24,ref_2019_11_25,ref_2019_11_22,ref_2019_11_23,ref_2019_11_20,ref_2019_11_21,RPRBRxRPDOU_ativado,OMCGRxOMRCB_ativado,RPCGRxRPNAS1_ativado,RPNVLxRPBND_ativado,RPNOQxOMNOQ_ativado,RPMRD_SColTempo_0003_delta_tempo,ref_2019_11_30,RPRBR_nOK_0002,ref_2019_12_02,RPAMO_nOK_0002,ref_2019_11_08,ref_2019_11_09,ref_2019_11_01,ref_2019_11_02,ref_2019_11_03,ref_2019_11_04,ref_2019_11_05,ref_2019_11_06,ref_2019_11_07,OMDOUxRPPPR_ativado,RPAMBxOMAMB_ativado,OMPPR_SColTempo_0002_delta_tempo,OMIGTxOMMNO_ativado,OMDOU_nOK_0002,OMDOU_nOK_0001,OMCGRxRPNVL_ativado,RPMRD_SColTempo_0002_delta_tempo,RPMMAxOMBLV_ativado,RPNVLxRPTRN_ativado,ref_2019_11_17,ref_2019_11_16,ref_2019_11_15,ref_2019_11_14,ref_2019_11_13,RPMRDxOMAQD_ativado,ref_2019_11_11,ref_2019_11_10,RPMPXxRPSPE_ativado,ref_2019_11_19,ref_2019_11_18,RPJRDxRPMMA_ativado,RPNOQxOMJRD_ativado,ref_2019_12_01,RPPPRxRPAMO1_ativado,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,RPSPExRPNOQ_ativado
"2018-10-17 18:09:48","2018-10-17 19:05:35",3347.0,9.41983418559E-05, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2019-10-31 00:00:00","2019-10-31 12:33:03",45183.0,0.00127163539889, ,1,1, ,1, ,1, , ,1, ,1, ,1, , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-10-31 12:33:03","2019-10-31 12:34:03",60.0,1.68864670193E-06, ,1,1, ,1, ,1, , ,1, ,1, ,1, , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1,1, ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-10-31 12:34:03","2019-10-31 23:59:59",41156.0,0.00115829906108, ,1,1, ,1, ,1, , ,1, ,1, ,1, , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-10-31 23:59:59","2019-11-01 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1, , , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-01 00:00:00","2019-11-01 02:00:49",7249.0,0.000204016665705, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , ,1, , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-01 02:00:49","2019-11-01 02:01:49",60.0,1.68864670193E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , ,1, , ,1, , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-01 02:01:49","2019-11-01 23:59:59",79090.0,0.00222591779426, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , ,1, , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-01 23:59:59","2019-11-02 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-02 00:00:00","2019-11-02 23:59:59",86399.0,0.00243162310666, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , ,1, , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-02 23:59:59","2019-11-03 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-03 00:00:00","2019-11-03 05:11:03",18663.0,0.000525253556635, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , ,1, , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-03 05:11:03","2019-11-03 05:12:03",60.0,1.68864670193E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , ,1, , , , ,1,1, ,1, ,1,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-03 05:12:03","2019-11-03 06:30:05",4682.0,0.000131770730974, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , ,1, , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-03 06:30:05","2019-11-03 06:33:05",180.0,5.06594010578E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , ,1, , , , ,1,1,180,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-03 06:33:05","2019-11-03 23:59:59",62814.0,0.00176784423225, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , ,1, , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-03 23:59:59","2019-11-04 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-04 00:00:00","2019-11-04 18:40:44",67244.0,0.00189252264707, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1, , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-04 18:40:44","2019-11-04 18:42:44",120.0,3.37729340386E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, ,1, ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1, , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-04 18:42:44","2019-11-04 23:59:59",19035.0,0.000535723166187, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1, , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-04 23:59:59","2019-11-05 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-05 00:00:00","2019-11-05 06:22:05",22925.0,0.000645203760695, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , ,1, , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-05 06:22:05","2019-11-05 06:29:05",420.0,1.18205269135E-05, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , ,1, , ,1,1,420,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-05 06:29:05","2019-11-05 09:00:05",9060.0,0.000254985651991, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , ,1, , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-05 09:00:05","2019-11-05 09:04:05",240.0,6.75458680771E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , ,1, , ,1,1,240,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-05 09:04:05","2019-11-05 23:59:59",53754.0,0.00151285858026, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , ,1, , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-05 23:59:59","2019-11-06 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-06 00:00:00","2019-11-06 23:59:59",86399.0,0.00243162310666, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , ,1, ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-06 23:59:59","2019-11-07 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-07 00:00:00","2019-11-07 18:13:04",65584.0,0.00184580342165, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , ,1,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-07 18:13:04","2019-11-07 18:14:04",60.0,1.68864670193E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1,1, , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , ,1,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-07 18:14:04","2019-11-07 18:19:05",301.0,8.47137762134E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , ,1,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-07 18:19:05","2019-11-07 18:21:04",119.0,3.34914929216E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1,1, , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , ,1,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-07 18:21:04","2019-11-07 21:18:05",10621.0,0.000298918610353, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , ,1,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-07 21:18:05","2019-11-07 21:19:04",59.0,1.66050259023E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1,1, , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , ,1,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-07 21:19:04","2019-11-07 23:59:59",9655.0,0.000271731398452, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , ,1,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-07 23:59:59","2019-11-08 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-08 00:00:00","2019-11-08 00:18:49",1129.0,3.17747021079E-05, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , ,1, , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-08 00:18:49","2019-11-08 00:19:48",59.0,1.66050259023E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-08 00:19:48","2019-11-08 05:27:04",18436.0,0.000518864843279, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , ,1, , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-08 05:27:04","2019-11-08 05:28:04",60.0,1.68864670193E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1,1, , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , ,1, , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-08 05:28:04","2019-11-08 05:30:04",120.0,3.37729340386E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , ,1, , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-08 05:30:04","2019-11-08 05:31:04",60.0,1.68864670193E-06, ,1,1, ,1, ,1, , ,1,1, , , , , ,1,1, , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , ,1, , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-08 05:31:04","2019-11-08 23:59:59",66535.0,0.00187256847188, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , ,1, , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-08 23:59:59","2019-11-09 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-09 00:00:00","2019-11-09 23:59:59",86399.0,0.00243162310666, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , ,1, , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-09 23:59:59","2019-11-10 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-10 00:00:00","2019-11-10 23:59:59",86399.0,0.00243162310666, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, ,1,1, , ,1,1, ,1,1,1,1
"2019-11-10 23:59:59","2019-11-11 00:00:00",1.0,2.81441116988E-08, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1, , ,1, , ,1,1, ,1,1,1,1
"2019-11-11 00:00:00","2019-11-11 23:59:59",86399.0,0.00243162310666, ,1,1, ,1, ,1, , ,1,1, , , , , ,1, , , ,1,1,1, ,1,1,1,1, ,1, ,1,1, , ,1,1, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1,1, , , , , ,1,1, ,1, , ,1,1, ,1,1,1,1
