time_ini,time_end,duration_seg,duration_percent,localidade_id_MSRPMPX_1034,ref_2018_07_21,localidade_id_MSOMCARC_1482,RPSPE_SColTempo_0001_delta_tempo,ref_2018_07_27,ref_2018_07_19,chamados_MSRPPPR,RPNOQ_nOK_0001,localidade_id_MSOMCGR_1417,localidade_id_MSRPRBR_1128,chamados_MSOMCARC,ref_2018_07_08,localidade_id_MSRPNOQ_1526,ref_2018_07_22,localidade_id_MSRPPPR_1251,localidade_id_MSOMJRD_1459,ref_2018_07_31,ref_2018_07_30,ref_Periodo,ref_2018_07_14,ref_2018_07_17,chamados_MSOMMNO,ref_2018_07_11,localidade_id_MSRPNAS_1433,ref_2018_07_13,chamados_MSOMCGR,localidade_id_MSOMJRD_1245,localidade_id_MSRPTCU_1166,ref_2018_07_18,localidade_id_MSRPTCU_468,ref_2018_07_23,ref_2018_07_10,ref_2018_07_01,chamados_MSRPMPX,ref_2018_07,localidade_id_Savis_1509,localidade_id_Savis_1520,localidade_id_MSRPMMA_1106,chamados_Savis,ref_2018_07_15,RPNOQ_SColTempo_0001_delta_tempo,chamados_MSRPTCU,localidade_id_MSRPNVL_1543,chamados_MSRPNOQ,chamados_MSRPMMA,ref_2018_07_07,chamados_MSRPNVL,localidade_id_MSOMCGR_559,chamados_MSRPRBR,RPSPE_nOK_0001,ref_2018_07_24,ref_2018_07_20,ref_2018_07_12,chamados_MSOMJRD,ref_2018_07_06,localidade_id_MSRPTCU_570,ref_2018_07_04,ref_2018_07_05,ref_2018_07_02,ref_2018_07_03,ref_2018_07_26,Chamados_Desconto,ref_2018_07_28,ref_2018_07_29,localidade_id_MSOMMNO_1276,localidade_id_MSOMBLV_1372,localidade_id_MSRPRBR_1265,ref_2018_07_09,localidade_id_MSRPMPX_1042,ref_2018_07_25,ref_2018_07_16,chamados_MSRPNAS,localidade_id_Savis_1531,chamados_MSOMBLV,localidade_id_MSRPMMA_1471,localidade_id_MSRPMPX_1542,localidade_id_MSRPTCU_1371
"2017-09-09 07:12:00","2017-09-09 07:30:00",1080.0,3.83788776303E-05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2017-09-29 02:36:30","2017-10-01 17:27:30",226260.0,0.00804037486356, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2017-10-01 17:27:30","2017-10-03 20:24:30",183420.0,0.00651801271755, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , 
"2017-10-03 20:24:30","2017-10-06 11:28:16",227026.0,0.00806759543787, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-01-24 12:41:00","2018-01-24 15:48:30",11250.0,0.000399779975316,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-01-25 11:20:00","2018-01-25 16:51:33",19893.0,0.000706917604352, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , 
"2018-02-05 17:46:00","2018-02-05 20:38:55",10375.0,0.000368685977236, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-02-09 10:01:00","2018-02-09 13:54:20",14000.0,0.000497503969282, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-02-23 10:54:00","2018-02-23 15:15:22",15682.0,0.000557275517592, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-03-18 11:51:13","2018-03-18 15:56:02",14689.0,0.00052198827177, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-03-19 19:17:30","2018-03-19 19:42:15",1485.0,5.27709567417E-05, , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-03-22 17:26:00","2018-03-23 17:33:21",86841.0,0.00308598158546, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , 
"2018-03-26 12:39:00","2018-03-28 18:01:20",192140.0,0.00682788661842, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , , , , , 
"2018-05-03 16:55:00","2018-05-03 16:55:12",12.0,4.2643197367E-07, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-05-03 16:55:12","2018-05-07 20:00:00",356688.0,0.0126752639854, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , ,1, , , 
"2018-05-10 09:00:00","2018-05-10 18:00:00",32400.0,0.00115136632891, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1
"2018-05-18 11:20:09","2018-05-24 14:58:26",531497.0,0.0188872762258, , , , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-05-24 14:58:26","2018-05-24 16:43:05",6279.0,0.000223130530223, , , , , , , , ,1, , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, , , , , 
"2018-05-24 16:43:05","2018-05-25 12:00:03",69418.0,0.00246683789569, , , , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-06-08 00:00:00","2018-06-08 09:00:00",32400.0,0.00115136632891, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-06-08 09:00:00","2018-06-11 21:00:00",302400.0,0.0107460857365, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , ,1, , 
"2018-06-23 17:30:00","2018-06-23 18:01:00",1860.0,6.60969559189E-05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-06-30 00:00:00","2018-06-30 19:00:00",68400.0,0.00243066224992, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-07-01 00:00:00","2018-07-01 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-01 23:59:59","2018-07-02 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-02 00:00:00","2018-07-02 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , 
"2018-07-02 23:59:59","2018-07-03 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-03 00:00:00","2018-07-03 16:00:00",57600.0,0.00204687347362, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , 
"2018-07-03 16:00:00","2018-07-03 16:35:11",2111.0,7.50164913682E-05, , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , 
"2018-07-03 16:35:11","2018-07-03 16:39:34",263.0,9.34596742294E-06, , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , ,1, , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , 
"2018-07-03 16:39:34","2018-07-03 23:59:59",26425.0,0.00093903874202, , , , , , , ,1, , , , ,1, , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , ,1, , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , 
"2018-07-03 23:59:59","2018-07-04 00:00:00",1.0,3.55359978059E-08, , , , , , , ,1, , , , ,1, , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , ,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
"2018-07-04 00:00:00","2018-07-04 09:14:10",33250.0,0.00118157192705, , , , , , , ,1, , , , ,1, , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , ,1, , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , 
"2018-07-04 09:14:10","2018-07-04 09:15:27",77.0,2.73627183105E-06, , , , , , , ,1, , , , ,1, , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , 
"2018-07-04 09:15:27","2018-07-04 09:40:00",1473.0,5.2344524768E-05, , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , 
"2018-07-04 09:40:00","2018-07-04 23:59:59",51599.0,0.00183362195078, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , 
"2018-07-04 23:59:59","2018-07-05 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-05 00:00:00","2018-07-05 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
"2018-07-05 23:59:59","2018-07-06 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-06 00:00:00","2018-07-06 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , 
"2018-07-06 23:59:59","2018-07-07 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-07 00:00:00","2018-07-07 01:00:00",3600.0,0.000127929592101, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-07 01:00:00","2018-07-07 01:00:10",10.0,3.55359978059E-07, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , 
"2018-07-07 01:00:10","2018-07-07 01:00:12",2.0,7.10719956117E-08, , , ,1345, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , 
"2018-07-07 01:00:12","2018-07-07 01:22:31",1339.0,4.75827010621E-05, , , ,1345, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , ,1, ,1339, , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , 
"2018-07-07 01:22:31","2018-07-07 01:22:35",4.0,1.42143991223E-07, , , ,1345, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , 
"2018-07-07 01:22:35","2018-07-07 14:00:00",45445.0,0.00161493342029, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , 
"2018-07-07 14:00:00","2018-07-07 23:59:59",35999.0,0.00127926038501, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-07 23:59:59","2018-07-08 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-08 00:00:00","2018-07-08 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-08 23:59:59","2018-07-09 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-09 00:00:00","2018-07-09 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , 
"2018-07-09 23:59:59","2018-07-10 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-10 00:00:00","2018-07-10 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-10 23:59:59","2018-07-11 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-11 00:00:00","2018-07-11 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-11 23:59:59","2018-07-12 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-12 00:00:00","2018-07-12 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-12 23:59:59","2018-07-13 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-13 00:00:00","2018-07-13 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-13 23:59:59","2018-07-14 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-14 00:00:00","2018-07-14 07:00:00",25200.0,0.000895507144708, , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-14 07:00:00","2018-07-14 23:59:59",61199.0,0.00217476752972, , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , ,1,1, , , , , , , ,1, , , ,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, 
"2018-07-14 23:59:59","2018-07-15 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1,1, , , , , , , ,1, , , ,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, 
"2018-07-15 00:00:00","2018-07-15 19:00:00",68400.0,0.00243066224992, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1,1, , , , ,1, , ,1, , , ,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, 
"2018-07-15 19:00:00","2018-07-15 23:59:59",17999.0,0.000639612424508, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-15 23:59:59","2018-07-16 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-16 00:00:00","2018-07-16 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , 
"2018-07-16 23:59:59","2018-07-17 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-17 00:00:00","2018-07-17 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-17 23:59:59","2018-07-18 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-18 00:00:00","2018-07-18 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-18 23:59:59","2018-07-19 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-19 00:00:00","2018-07-19 23:59:59",86399.0,0.00307027467443, , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-19 23:59:59","2018-07-20 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-20 00:00:00","2018-07-20 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-20 23:59:59","2018-07-21 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-21 00:00:00","2018-07-21 23:59:59",86399.0,0.00307027467443, ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-21 23:59:59","2018-07-22 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-22 00:00:00","2018-07-22 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-22 23:59:59","2018-07-23 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-23 00:00:00","2018-07-23 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-23 23:59:59","2018-07-24 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-24 00:00:00","2018-07-24 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-24 23:59:59","2018-07-25 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-25 00:00:00","2018-07-25 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
"2018-07-25 23:59:59","2018-07-26 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-26 00:00:00","2018-07-26 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , 
"2018-07-26 23:59:59","2018-07-27 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-27 00:00:00","2018-07-27 23:59:59",86399.0,0.00307027467443, , , , ,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-27 23:59:59","2018-07-28 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-28 00:00:00","2018-07-28 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , 
"2018-07-28 23:59:59","2018-07-29 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-29 00:00:00","2018-07-29 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , 
"2018-07-29 23:59:59","2018-07-30 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-30 00:00:00","2018-07-30 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-30 23:59:59","2018-07-31 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-31 00:00:00","2018-07-31 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
